6	7	2.3202
6	8	1.0573
7	8	6.8071
6	9	2.2895
7	9	1.261
8	9	3.8362
6	10	0.9186
7	10	1.6864
8	10	4.3292
9	10	7.4614
6	11	1.3611
7	11	1.6643
8	11	0.95019
9	11	10.214
10	11	7.7832
6	12	0.45253
7	12	3.3217
8	12	2.8435
9	12	3.6747
10	12	6.551
11	12	9.2804
6	13	0.45709
7	13	1.6785
8	13	1.4366
9	13	3.3052
10	13	5.8008
11	13	6.1291
12	13	6.937
7	14	1.3331
8	14	1.5217
9	14	1.3128
10	14	3.0721
11	14	3.0307
12	14	4.323
13	14	12.24
7	15	0.83506
8	15	1.9053
9	15	2.4678
10	15	5.775
11	15	4.4758
12	15	6.9058
13	15	7.3927
14	15	14.355
6	16	1.355
7	16	1.2434
8	16	3.7853
9	16	4.8955
10	16	2.4548
11	16	4.4373
12	16	10.878
13	16	8.9651
14	16	5.6128
15	16	13.79
6	17	0.45745
7	17	0.83961
8	17	1.9168
9	17	3.3035
10	17	2.0705
11	17	3.6735
12	17	3.6706
13	17	2.8885
14	17	2.1858
15	17	2.8753
16	17	8.9638
6	18	0.44866
7	18	0.82332
8	18	2.3499
9	18	2.4311
10	18	0.81269
11	18	1.6025
12	18	1.6006
13	18	5.2616
14	18	1.7153
15	18	4.834
16	18	4.3959
17	18	8.0934
6	19	0.96448
7	19	1.3294
8	19	0.50584
9	19	2.1859
10	19	1.3156
11	19	2.1651
12	19	2.1594
13	19	0.87262
14	19	1.8487
15	19	2.1701
16	19	2.1549
17	19	6.1131
18	19	8.9896
7	20	0.44519
8	20	1.0143
9	20	1.3186
10	20	0.88177
11	20	0.87103
12	20	0.86853
13	20	0.87708
14	20	0.92829
15	20	3.4897
16	20	2.5996
17	20	1.3169
18	20	6.8861
19	20	7.8614
6	21	0.9114
7	21	0.41858
8	21	0.95504
9	21	1.2386
10	21	0.41411
11	21	1.2262
12	21	0.81554
13	21	0.82401
14	21	1.3091
15	21	1.6396
16	21	2.4414
17	21	3.7104
18	21	4.4457
19	21	3.4795
20	21	9.6142
7	22	0.86424
9	22	1.2757
10	22	0.85288
12	22	1.2601
14	22	0.90025
15	22	3.3832
16	22	1.2588
17	22	1.2744
18	22	2.0837
19	22	3.1465
20	22	5.4199
21	22	11.458
6	23	0.45674
7	23	0.83811
8	23	0.47858
10	23	0.82705
11	23	0.40767
12	23	1.2217
13	23	1.6479
14	23	1.7462
15	23	1.2301
16	23	0.81356
17	23	1.6475
18	23	0.80801
19	23	2.1794
20	23	1.3144
21	23	7.4063
22	23	8.4837
6	24	0.92397
10	24	0.41859
11	24	0.41281
12	24	0.82443
13	24	0.83376
14	24	2.6507
15	24	0.41486
16	24	0.41165
18	24	0.81768
19	24	1.7637
20	24	1.7723
21	24	3.3293
22	24	6.0108
23	24	17.065
6	25	0.4461
8	25	0.46724
9	25	1.2075
10	25	0.40362
11	25	0.3978
12	25	1.1924
13	25	1.6086
14	25	1.7046
15	25	1.2009
16	25	0.39705
17	25	2.01
18	25	1.183
19	25	3.4046
20	25	2.1398
21	25	5.6245
22	25	7.4526
23	25	8.4287
24	25	11.781
7	26	0.43116
10	26	0.85209
11	26	0.84066
13	26	0.42418
14	26	0.89885
15	26	1.2662
16	26	0.41892
17	26	0.42428
18	26	1.2482
19	26	0.89673
21	26	2.1164
22	26	2.6213
23	26	8.0483
24	26	12.001
25	26	15.713
8	27	0.95613
9	27	0.41255
10	27	0.41374
11	27	1.2241
12	27	0.40747
13	27	0.41204
14	27	1.3094
15	27	0.82014
16	27	1.2207
18	27	0.40413
19	27	0.87119
20	27	1.7513
21	27	2.0567
22	27	1.697
23	27	2.8795
24	27	5.411
25	27	5.6219
26	27	12.282
8	28	0.48103
12	28	0.41045
15	28	0.41278
16	28	1.2291
17	28	0.83001
18	28	0.40693
19	28	1.3146
21	28	2.0692
22	28	0.85449
23	28	2.8998
24	28	3.7717
25	28	4.8534
26	28	8.0997
27	28	14.911
9	29	0.41566
11	29	0.41092
12	29	1.2315
13	29	0.83064
