chr1	0	249219999	2.0807	IB1	1
chr2	0	243054999	2.0890	IB2	1
chr3	0	197824999	2.0975	IB3	1
chr4	0	190949999	1.9936	IB4	1
chr5	0	180709999	2.0522	IB5	1
chr6	0	170904999	2.0687	IB6	1
chr7	0	159114999	1.9975	IB7	1
chr8	0	146264999	2.0720	IB8	1
chr9	0	141074999	2.0610	IB9	1
chr10	0	135439999	2.0622	IB10	1
chr11	0	134944999	2.0581	IB11	1
chr12	0	133809999	2.0720	IB12	1
chr13	0	115084999	1.9952	IB13	1
chr14	0	106059999	2.0682	IB14	1
chr14	106060000	107269999	0.8193	IB15	2
chr15	0	24879999	1.2662	IB16	1
chr15	24880000	102449999	2.1071	IB17	2
chr16	0	29034999	1.9817	IB18	1
chr16	29035000	35074999	1.4254	IB19	2
chr16	35075000	90139999	1.9952	IB20	3
chr17	0	81149999	1.9952	IB21	1
chr18	0	78014999	2.0625	IB22	1
chr19	0	59084999	1.6276	IB23	1
chr20	0	62909999	2.0894	IB24	1
chr21	0	15519999	0.9229	IB25	1
chr21	15520000	48089999	1.9930	IB26	2
chr22	0	51199999	1.9577	IB27	1
chrX	0	154919999	1.8490	IB28	1
